# 第四章抗体选择题题库（纯|分隔·无题号·统一格式·可直接批量导入）
## 统一格式：题干|选项A|选项B|选项C|选项D|选项E|正确答案
Tonegawa|提出早期细胞免疫的概念|发现天然免疫耐受现象|发现免疫球蛋白编码基因的重排|证明了抗体由四条肽链组成|克隆出TCR编码基因|C
T.Mak和M.Davis|提出早期细胞免疫的概念|发现天然免疫耐受现象|发现免疫球蛋白编码基因的重排|证明了抗体由四条肽链组成|克隆出TCR编码基因|E
Metchnikoff|提出早期细胞免疫的概念|发现天然免疫耐受现象|发现免疫球蛋白编码基因的重排|证明了抗体由四条肽链组成|克隆出TCR编码基因|A
Porter和Edelman|提出早期细胞免疫的概念|发现天然免疫耐受现象|发现免疫球蛋白编码基因的重排|证明了抗体由四条肽链组成|克隆出TCR编码基因|D
参与适应性免疫应答细胞的是|补体|NKT细胞|TCR|T细胞|TLR4|D
T细胞表面抗原识别受体是|补体|NKT细胞|TCR|T细胞|TLR4|C
吞噬细胞表面模式识别受体有|补体|NKT细胞|TCR|T细胞|TLR4|E
属于分泌型免疫分子的是|补体|NKT细胞|TCR|T细胞|TLR4|A
属于固有免疫应答细胞的是|补体|NKT细胞|TCR|T细胞|TLR4|B
Watson和 Crick|建立单克隆抗体技术|首次研制成功减毒活疫苗|发现了DNA双螺旋结构|建立了实验性免疫耐受|提出克隆选择学说|C
Kohler和Milstein|建立单克隆抗体技术|首次研制成功减毒活疫苗|发现了DNA双螺旋结构|建立了实验性免疫耐受|提出克隆选择学说|A
Burnet|建立单克隆抗体技术|首次研制成功减毒活疫苗|发现了DNA双螺旋结构|建立了实验性免疫耐受|提出克隆选择学说|E
Pasteur|建立单克隆抗体技术|首次研制成功减毒活疫苗|发现了DNA双螺旋结构|建立了实验性免疫耐受|提出克隆选择学说|B
Medawar|建立单克隆抗体技术|首次研制成功减毒活疫苗|发现了DNA双螺旋结构|建立了实验性免疫耐受|提出克隆选择学说|D
法国Pasteur|发现了ABO血型|发明了人痘苗|发明了牛痘苗|发现了抗毒素|研制了狂犬病疫苗|E
德国Behring|发现了ABO血型|发明了人痘苗|发明了牛痘苗|发现了抗毒素|研制了狂犬病疫苗|D
美国Landsteiner|发现了ABO血型|发明了人痘苗|发明了牛痘苗|发现了抗毒素|研制了狂犬病疫苗|A
中国人|发现了ABO血型|发明了人痘苗|发明了牛痘苗|发现了抗毒素|研制了狂犬病疫苗|B
英国Jenner|发现了ABO血型|发明了人痘苗|发明了牛痘苗|发现了抗毒素|研制了狂犬病疫苗|C

# 第二章免疫器官和组织选择题题库（纯|分隔·无题号·统一格式·可直接批量导入）
## 统一格式：题干|选项A|选项B|选项C|选项D|选项E|正确答案
中枢免疫器官是|T细胞分化成熟的部位|B细胞分化成熟的部位|T细胞和B细胞分化成熟的部位|B细胞聚集和启动免疫应答的部位|免疫细胞发生、分化、发育和成熟的部位|E
哺乳类动物的中枢免疫器官包括|淋巴结和脾脏|胸腺和骨髓|腔上囊和胸腺|骨髓和黏膜相关淋巴组织|淋巴结和骨髓|B
外周免疫器官包括|骨髓、淋巴结、脾脏|胸腺、脾脏、黏膜相关淋巴组织|腔上囊、扁桃体、淋巴结|脾脏、淋巴结、黏膜相关淋巴组织|扁桃体、骨髓、淋巴结|D
绝大多数T细胞分化成熟的场所是|骨髓|腔上囊|脾脏|胸腺|淋巴结|D
人类B细胞分化成熟的场所是|骨髓|腔上囊|脾脏|胸腺|淋巴结|A
淋巴结内T细胞约占淋巴细胞总数的|55%|75%|25%|35%|10%|B
脾脏中B细胞约占淋巴细胞总数的|10%|20%|40%|60%|70%|D
成熟免疫细胞寄居的场所是|胸腺|胰腺|腔上囊|卵黄囊|脾脏|E
只能由髓样干细胞分化而来的细胞是|NK细胞|B细胞|T细胞|树突状细胞|中性粒细胞|E
人类淋巴细胞产生、发育、分化成熟的场所是|胸腺和淋巴结|胸腺和脾脏|骨髓和黏膜免疫系统|骨髓和胸腺|淋巴结和脾脏|D
脾脏富含T细胞的部位是|中央动脉周围淋巴鞘|淋巴滤泡(脾小结)|髓索|血窦|红髓|A
人体内单位体积最大的免疫器官是|扁桃体|阑尾|脾脏|胸腺|淋巴结|C
机体骨髓功能缺陷时|细胞免疫功能正常,体液免疫功能缺陷|细胞免疫功能缺陷,体液免疫功能正常|胸腺发育不良,脾脏淋巴滤泡发育正常|胸腺发育正常,脾脏淋巴滤泡发育不良|细胞免疫功能缺乏,体液免疫功能缺陷|E
淋巴结生发中心内的细胞主要是|T细胞|B细胞|树突状细胞|巨噬细胞|NK细胞|B
淋巴结所不具备的作用是|参与T细胞选择性发育过程|提供成熟淋巴细胞寄居的场所|提供免疫应答的场所|清除病原菌|参与淋巴细胞再循环|A
人类出生后造血干细胞主要产生于|肝脏|脾脏|骨髓|卵黄囊|腔上囊|C
可作为机体抗感染免疫第一道防线的外周免疫器官是|骨髓|脾脏|淋巴结|胸腺|黏膜相关淋巴组织|E
胸腺细胞阳性选择的结果是|T细胞对自身抗原形成中枢免疫耐受|T细胞对"非己"抗原形成中枢免疫耐受|T细胞获得对抗原识别的MHC限制性|T细胞对内源性抗原形成免疫耐受|T细胞对外源性抗原形成免疫耐受|C
脾脏所不具备的作用是|提供T、B细胞寄居的场所|产生分泌型IgA,发挥黏膜免疫作用|提供免疫应答的场所|造血作用|贮血作用|B
B细胞主要位于淋巴结的|被膜下淋巴窦|深皮质区|浅皮质区|中间窦|髓质区|C
肠黏膜固有层浆细胞主要分泌的抗体是|IgM|IgA|IgG|IgE|IgD|B
人类造血干细胞表面具有鉴别意义的标志是|CD16和CD56|CD1a 和 CD11c|CD3和CD4|CD34和CD117|CD3和CD8|D
禽类B细胞分化成熟的场所是|腔上囊|胸腺|骨髓|脾脏|淋巴结|A
关于上皮内淋巴细胞(IEL),错误的选项是|是存在于小肠黏膜上皮内的一类独特的细胞群|约40%的IEL为αβT细胞|约60%的IEL为γδT细胞|具有抗原转运功能|对肠道病原体具有免疫防御功能|D
可由髓样干细胞和淋巴样干细胞发育分化而来的免疫细胞是|单核-巨噬细胞|树突状细胞|NK细胞|T细胞|中性粒细胞|B
机体再次体液免疫应答中抗体产生的主要部位是|骨髓|淋巴结|胸腺|脾脏|黏膜相关淋巴组织|A
由髓样干细胞分化而来的细胞是|αβT细胞|B细胞|NK细胞|γδT细胞|肥大细胞|E
诱导红系细胞分化成熟的细胞因子是|IL-4|IL-3|TGF-β|EPO|IFN|D
在个体发育过程中,最早产生的免疫器官是|胸腺|骨髓|脾脏|黏膜相关淋巴组织|淋巴结|A
DiGeorge综合征患儿缺乏|T细胞|B细胞|T细胞和B细胞|树突状细胞|血小板|A
淋巴结中初始B细胞主要存在于|初级淋巴滤泡|次级淋巴滤泡|髓质区|生发中心|深皮质区|A
脾脏内T细胞约占脾脏淋巴细胞总数的|10%|20%|40%|60%|70%|C
胸腺细胞阴性选择的结果是|T细胞获得对抗原识别的MHC限制性|T细胞对自身抗原形成中枢免疫耐受|T细胞分化为单阳性未成熟T细胞|T细胞分化为记忆T细胞|T细胞对外源性抗原形成外周免疫耐受|B
由淋巴样干细胞发育分化而来的细胞是|NK细胞|粒细胞|单核细胞|红细胞|血小板|A
造血干细胞发育分化的条件是|骨髓基质细胞|骨髓细胞外基质|骨髓基质细胞及其分泌的细胞因子与细胞外基质构成的造血微环境|造血生长因子|成纤维细胞|C
与造血干细胞分化无直接关系的是|multi-CSF|SCF|CD117|CD34|IL-7|D
骨髓基质细胞分泌的,可促进未成熟B细胞发育分化的细胞因子是|TPO|IL-8|IL-7|IL-2|EPO|C
淋巴结内B细胞约占淋巴细胞总数的|55%|75%|25%|35%|10%|C
T细胞主要寄居于淋巴结的|髓质区|浅皮质区|深皮质区|初级淋巴滤泡|次级淋巴滤泡|C
属于黏膜相关淋巴组织的是|骨髓|胸腺|脾脏|扁桃体|淋巴结|D
分泌SIgA的浆细胞主要分布于|淋巴结浅皮质区|淋巴结副皮质区|脾小结|脾脏中央动脉周围淋巴鞘|派尔集合淋巴结|E
某新生儿眼眶距离增宽,耳郭位置低且有切迹,有鼻裂。心脏彩超显示主动脉弓右位,试问该患儿可能是|迪格奥尔格综合征|干燥症|甲状腺机能亢进|X连锁无丙种球蛋白血症|遗传性血管神经性水肿|A
患者,女性,20岁,因半年来反复出现少量紫癜来诊。血红蛋白110g/L,白细胞3.8×10⁹/L,血小板50×10⁹/L,肝脾不大。骨髓穿刺三次,其中两次增生活跃,分类大致正常,巨核细胞增生低下,Ham's试验(-)。其最可能的诊断为|特发性血小板减少性紫癜|再生障碍性贫血|白细胞减少性白血病|阵发性睡眠性血红蛋白尿|脾功能亢进|A
患者,男性,病史2周,贫血伴周身出血点,浅表淋巴结不肿大,胸骨压痛(+),肝脏轻度肿大,外周血白细胞25×10⁹/L,可见幼稚细胞,血小板50×10⁹/L,血红蛋白40g/L,该患者最可能诊断|败血症|再生障碍性贫血|过敏性紫癜|急性白血病|恶性淋巴瘤|D
患儿,男,6个月龄,苍白、贫血、精神萎靡。浅表淋巴结及脾脏均不能触及,鼻咽部侧位X线检查可见腺样体阴影缺乏或变小。反复溶血性链球菌感染。患儿血清总Ig为1.0mg/ml,IgG检测不到,外周血白细胞总数正常,淋巴细胞数量正常,成熟B细胞缺如。骨髓B细胞和浆细胞缺如,可见少量前B细胞。母亲家族中曾有类似表现的男性患者。临床诊断最可能是|X连锁重症联合免疫缺陷病|X连锁慢性肉芽肿病|X连锁无丙种球蛋白血症|选择性IgA缺陷|遗传性血管神经性水肿|C
体内各种免疫细胞产生的场所是|肝脏|淋巴结|骨髓|胸腺|腔上囊|C
机体发生再次体液免疫应答的主要部位是|肝脏|淋巴结|骨髓|胸腺|腔上囊|C
初始T细胞移居的部位是|肝脏|淋巴结|骨髓|胸腺|腔上囊|B
禽类B细胞发育分化成熟的场所是|肝脏|淋巴结|骨髓|胸腺|腔上囊|E
胚胎第3~7个月时体内主要造血器官是|肝脏|淋巴结|骨髓|胸腺|腔上囊|A
属于韦氏环的免疫组织是|舌扁桃体|派尔集合淋巴结|赫氏小体|阑尾|次级淋巴滤泡|A
可抵御侵入肠道病原微生物感染的免疫组织是|舌扁桃体|派尔集合淋巴结|赫氏小体|阑尾|次级淋巴滤泡|B
胸腺结构的重要特征是|舌扁桃体|派尔集合淋巴结|赫氏小体|阑尾|次级淋巴滤泡|C
不带有生发中心的结构是|舌扁桃体|派尔集合淋巴结|赫氏小体|阑尾|次级淋巴滤泡|C
可促进未成熟T、B细胞发育分化的细胞因子是|IL-7|EPO|TPO|IL-2|IL-5|A
可促进B细胞分化并产生IgA的细胞因子是|IL-7|EPO|TPO|IL-2|IL-5|E
可促进红系细胞分化的细胞因子是|IL-7|EPO|TPO|IL-2|IL-5|B
可促进巨核细胞/血小板谱系分化的细胞因子是|IL-7|EPO|TPO|IL-2|IL-5|C
可促进成熟T、B细胞增殖分化的细胞因子是|IL-7|EPO|TPO|IL-2|IL-5|D
既可来源于淋巴样祖细胞又可来源于髓样祖细胞的细胞是|NK细胞|树突状细胞|T细胞|B细胞|M细胞|B
散布于肠黏膜上皮细胞间的具有抗原转运功能的细胞是|NK细胞|树突状细胞|T细胞|B细胞|M细胞|E
主要分布在中央动脉周围淋巴鞘的细胞是|NK细胞|树突状细胞|T细胞|B细胞|M细胞|C
在胸腺内分化成熟的细胞是|NK细胞|树突状细胞|T细胞|B细胞|M细胞|C
在骨髓内分化成熟的细胞是|NK细胞|树突状细胞|T细胞|B细胞|M细胞|D
来源于淋巴样祖细胞的固有免疫细胞是|NK细胞|树突状细胞|T细胞|B细胞|M细胞|A
主要位于淋巴小结和脾小结的细胞是|NK细胞|树突状细胞|T细胞|B细胞|M细胞|D
# 第二章免疫器官和组织选择题题库（纯|分隔·无题号·统一格式·可直接批量导入）
## 统一格式：题干|选项A|选项B|选项C|选项D|选项E|正确答案
中枢免疫器官是|T细胞分化成熟的部位|B细胞分化成熟的部位|T细胞和B细胞分化成熟的部位|B细胞聚集和启动免疫应答的部位|免疫细胞发生、分化、发育和成熟的部位|E
哺乳类动物的中枢免疫器官包括|淋巴结和脾脏|胸腺和骨髓|腔上囊和胸腺|骨髓和黏膜相关淋巴组织|淋巴结和骨髓|B
外周免疫器官包括|骨髓、淋巴结、脾脏|胸腺、脾脏、黏膜相关淋巴组织|腔上囊、扁桃体、淋巴结|脾脏、淋巴结、黏膜相关淋巴组织|扁桃体、骨髓、淋巴结|D
绝大多数T细胞分化成熟的场所是|骨髓|腔上囊|脾脏|胸腺|淋巴结|D
人类B细胞分化成熟的场所是|骨髓|腔上囊|脾脏|胸腺|淋巴结|A
淋巴结内T细胞约占淋巴细胞总数的|55%|75%|25%|35%|10%|B
脾脏中B细胞约占淋巴细胞总数的|10%|20%|40%|60%|70%|D
成熟免疫细胞寄居的场所是|胸腺|胰腺|腔上囊|卵黄囊|脾脏|E
只能由髓样干细胞分化而来的细胞是|NK细胞|B细胞|T细胞|树突状细胞|中性粒细胞|E
人类淋巴细胞产生、发育、分化成熟的场所是|胸腺和淋巴结|胸腺和脾脏|骨髓和黏膜免疫系统|骨髓和胸腺|淋巴结和脾脏|D
脾脏富含T细胞的部位是|中央动脉周围淋巴鞘|淋巴滤泡(脾小结)|髓索|血窦|红髓|A
人体内单位体积最大的免疫器官是|扁桃体|阑尾|脾脏|胸腺|淋巴结|C
机体骨髓功能缺陷时|细胞免疫功能正常,体液免疫功能缺陷|细胞免疫功能缺陷,体液免疫功能正常|胸腺发育不良,脾脏淋巴滤泡发育正常|胸腺发育正常,脾脏淋巴滤泡发育不良|细胞免疫功能缺乏,体液免疫功能缺陷|E
淋巴结生发中心内的细胞主要是|T细胞|B细胞|树突状细胞|巨噬细胞|NK细胞|B
淋巴结所不具备的作用是|参与T细胞选择性发育过程|提供成熟淋巴细胞寄居的场所|提供免疫应答的场所|清除病原菌|参与淋巴细胞再循环|A
人类出生后造血干细胞主要产生于|肝脏|脾脏|骨髓|卵黄囊|腔上囊|C
可作为机体抗感染免疫第一道防线的外周免疫器官是|骨髓|脾脏|淋巴结|胸腺|黏膜相关淋巴组织|E
胸腺细胞阳性选择的结果是|T细胞对自身抗原形成中枢免疫耐受|T细胞对"非己"抗原形成中枢免疫耐受|T细胞获得对抗原识别的MHC限制性|T细胞对内源性抗原形成免疫耐受|T细胞对外源性抗原形成免疫耐受|C
脾脏所不具备的作用是|提供T、B细胞寄居的场所|产生分泌型IgA,发挥黏膜免疫作用|提供免疫应答的场所|造血作用|贮血作用|B
B细胞主要位于淋巴结的|被膜下淋巴窦|深皮质区|浅皮质区|中间窦|髓质区|C
肠黏膜固有层浆细胞主要分泌的抗体是|IgM|IgA|IgG|IgE|IgD|B
人类造血干细胞表面具有鉴别意义的标志是|CD16和CD56|CD1a 和 CD11c|CD3和CD4|CD34和CD117|CD3和CD8|D
禽类B细胞分化成熟的场所是|腔上囊|胸腺|骨髓|脾脏|淋巴结|A
关于上皮内淋巴细胞(IEL),错误的选项是|是存在于小肠黏膜上皮内的一类独特的细胞群|约40%的IEL为αβT细胞|约60%的IEL为γδT细胞|具有抗原转运功能|对肠道病原体具有免疫防御功能|D
可由髓样干细胞和淋巴样干细胞发育分化而来的免疫细胞是|单核-巨噬细胞|树突状细胞|NK细胞|T细胞|中性粒细胞|B
机体再次体液免疫应答中抗体产生的主要部位是|骨髓|淋巴结|胸腺|脾脏|黏膜相关淋巴组织|A
由髓样干细胞分化而来的细胞是|αβT细胞|B细胞|NK细胞|γδT细胞|肥大细胞|E
诱导红系细胞分化成熟的细胞因子是|IL-4|IL-3|TGF-β|EPO|IFN|D
在个体发育过程中,最早产生的免疫器官是|胸腺|骨髓|脾脏|黏膜相关淋巴组织|淋巴结|A
DiGeorge综合征患儿缺乏|T细胞|B细胞|T细胞和B细胞|树突状细胞|血小板|A
淋巴结中初始B细胞主要存在于|初级淋巴滤泡|次级淋巴滤泡|髓质区|生发中心|深皮质区|A
脾脏内T细胞约占脾脏淋巴细胞总数的|10%|20%|40%|60%|70%|C
胸腺细胞阴性选择的结果是|T细胞获得对抗原识别的MHC限制性|T细胞对自身抗原形成中枢免疫耐受|T细胞分化为单阳性未成熟T细胞|T细胞分化为记忆T细胞|T细胞对外源性抗原形成外周免疫耐受|B
由淋巴样干细胞发育分化而来的细胞是|NK细胞|粒细胞|单核细胞|红细胞|血小板|A
造血干细胞发育分化的条件是|骨髓基质细胞|骨髓细胞外基质|骨髓基质细胞及其分泌的细胞因子与细胞外基质构成的造血微环境|造血生长因子|成纤维细胞|C
与造血干细胞分化无直接关系的是|multi-CSF|SCF|CD117|CD34|IL-7|D
骨髓基质细胞分泌的,可促进未成熟B细胞发育分化的细胞因子是|TPO|IL-8|IL-7|IL-2|EPO|C
淋巴结内B细胞约占淋巴细胞总数的|55%|75%|25%|35%|10%|C
T细胞主要寄居于淋巴结的|髓质区|浅皮质区|深皮质区|初级淋巴滤泡|次级淋巴滤泡|C
