以下为**纯单行分隔符格式**的所有单选题（原文档无判断题和多选题），采用**【题目||选项A||选项B||选项C||选项D||选项E||正确答案】** 标准格式，无任何多余格式和换行，可直接复制粘贴导入绝大多数游戏题库系统。所有B1型共用备选答案题已转换为独立题目，每个题目自带完整选项。
细菌产生的具有抗吞噬的酶是||链激酶||链道酶||透明质酸酶||溶纤维蛋白酶||血浆凝固酶||E
破伤风梭菌可引起下列哪种全身感染类型||菌血症||败血症||毒血症||脓毒血症||内毒素血症||C
可经多途径感染的细菌是||炭疽杆菌||淋病奈瑟菌||军团菌||伤寒杆菌||脑膜炎奈瑟菌||A
能经旁路途径激活补体的物质是||内毒素||外毒素||血浆凝固酶||组蛋白||酯酶||A
溶菌酶不能破坏革兰阴性菌的原因主要是||肽聚糖外有外膜保护||肽聚糖无五肽桥||肽聚糖为二维结构||肽聚糖含量少||四肽侧链第三位为二氨基庚二酸||A
目前尚无特异的防治内毒素致病的措施，其原因是内毒素||作用细胞内||作用无组织特异性||引起化学中毒||一次产量大||抗原性弱，不能制成疫苗||E
构成细菌侵袭力的细菌表面结构不包括||侵袭性酶||荚膜||菌毛||磷壁酸||Vi抗原||A
下列哪组细菌均不产生外毒素||伤寒杆菌、痢疾杆菌||霍乱弧菌、结核分枝杆菌||炭疽杆菌、白喉棒状杆菌||白喉棒状杆菌、肉毒梭菌||结核分枝杆菌、脑膜炎奈瑟菌||E
关于细菌内毒素的描述，下列哪项不正确||其化学成分是LPS||主要由革兰阴性菌产生||可经旁路途径激活补体||对热不稳定||可使血液变形细胞溶解物凝固||D
胞内寄生菌不包括||立克次体||军团菌||结核分枝杆菌||痢疾杆菌||伤寒杆菌||D
不属于正常体液与组织中的抗菌物质是||抗生素||溶菌酶||补体||乙型溶素||白细胞素||A
参与吞噬细胞依赖氧杀菌作用的物质是||溶菌酶||脂肪酶||乳酸||蛋白酶||MPO||E
能直接识别和结合病原体的巨噬细胞受体是||CD14||甘露糖受体||C₃b受体||iC₃b受体||LPS结合蛋白||B
参与胞外菌免疫应答的T细胞主要是||Th₀细胞||Th₁细胞||Th₂细胞||TC细胞||TS细胞||C
构成细菌毒力的是||细菌基本结构||细菌特殊结构||细菌分解代谢产物||侵袭力和毒素||细菌侵入的门户和定居的部位||D
发挥调理吞噬的抗体是||IgG||IgM||IgA||IgD||IgE||A
下列哪种细菌在流行期常有健康带菌者形成||鼠疫杆菌||绿脓杆菌||金黄色葡萄球菌||结核分枝杆菌||脑膜炎奈瑟菌||E
类毒素与外毒素的区别是||有抗原性，也有毒性||有抗原性，但无毒性||无抗原性，但有毒性||无抗原性，也无毒性||仅有半抗原性，但无毒性||B
引起菌群失调症的常见原因是||正常菌群各菌种间的比例发生较大幅度变化||正常菌群的耐药性明显改变||滥用抗生素||正常菌群的增殖方式明显改变||正常菌群的遗传特性明显改变||C
患儿，男，8岁。2004年(2岁)行人工耳蜗植入术。2009年4月，因耳郭后肿痛、溃烂来院就医，体检发现人工耳蜗接受刺激器植入处皮肤有一溃疡，植入物的边界可见，表面有脓性分泌物，细菌培养鉴定为金黄色葡萄球菌感染，经阿莫西林/克拉维酸输注治疗5天，口服阿莫西林治疗1天，改为利福平口服6月；治疗1月，溃疡消失，治疗6月后复查，人工耳蜗工作正常。2010年1月，患儿再次出现耳郭后肿痛，检查发现接受刺激器表面覆盖一薄层脓性物质，刺激电极和参考电极正常，植入物送检，培养出金黄色葡萄球菌，将该植入物废弃。2011年1月，患儿于对侧耳郭后行人工耳蜗植入术，至今正常。造成上述症状的原因可能是患儿遭受||外毒素致病||内毒素致病||生物被膜感染||破伤风||质粒污染||C
患者，女，29岁，河北某县人。因发热4天，胸闷1天于2016年3月18日入住某院ICU。查体：T40°C；P171次/分；R34次/分；BP58/22mmHg；昏迷状态，浅表淋巴结未触及肿大；右肺叩击浊音，呼吸音减弱，左肺叩击音清，双肺偶可闻及哮鸣音。心、腹查体未见异常。辅助检查：血常规，WBC25.77×10⁹/L，HB113g/L；肝功能，ALT112U/L，AST162U/L，总胆红素46.7umol/L，白蛋白31.7g/L；电解质与肾功能，Na⁺130mmol/L，K⁺3.34mmol/L，Cl⁻90mmol/L，肌酐306umol/L，尿素氮15.2mmol/L；胸片示右侧气胸、右下肺炎症。给予右胸闭式引流术，可抽出气体及黄褐色胸腔积液。经引流、降温、抗休克、抗感染等治疗，患者病情日渐稳定，于3月25日转到呼吸科普通病房治疗后出院。该患者的临床诊断最可能是||菌血症||毒血症||内毒素血症||脓毒血症||败血症||D
恢复期细菌性传染病患者以及携带有某种病原菌但未出现临床症状的健康人为||带菌者||病毒携带者||带菌动物||STD||CPE||A
病毒性传染病的隐形感染者称为||带菌者||病毒携带者||带菌动物||STD||CPE||B
性传播疾病指病原体主要通过性接触方式传播而引起的疾病，缩写为||带菌者||病毒携带者||带菌动物||STD||CPE||D
在体外实验的细胞培养中，接种杀细胞性病毒可致细胞发生病变，称为||带菌者||病毒携带者||带菌动物||STD||CPE||E
人畜共患病病原体来自||带菌者||病毒携带者||带菌动物||STD||CPE||C
Inv基因编码的蛋白为||定居因子||黏附因子||侵袭素||超抗原||黏附素||C
大肠埃希菌黏附素称为||定居因子||黏附因子||侵袭素||超抗原||黏附素||A
细菌的蛋白质性黏附物质为||定居因子||黏附因子||侵袭素||超抗原||黏附素||E
原核细胞型微生物体表的黏附性结构或分子通称为||定居因子||黏附因子||侵袭素||超抗原||黏附素||B
细菌能否引起疾病主要取决于||细菌毒力||细菌的免疫性||细菌侵袭力||细菌毒素||细菌数目||A
细菌能否在体内繁殖扩散主要取决于||细菌毒力||细菌的免疫性||细菌侵袭力||细菌毒素||细菌数目||C
细菌能否引起特殊临床表现主要取决于||细菌毒力||细菌的免疫性||细菌侵袭力||细菌毒素||细菌数目||D
致病菌对机体有益的作用体现在||细菌毒力||细菌的免疫性||细菌侵袭力||细菌毒素||细菌数目||B
有毒力的牛分枝杆菌在特殊培养基中传代培养13年可成为||抗毒素||类毒素||减毒活疫苗||丙种球蛋白||死疫苗||C
将外毒素用0.4%甲醛处理为无毒且保留抗原性的物质称为||抗毒素||类毒素||减毒活疫苗||丙种球蛋白||死疫苗||B
将破伤风类毒素注射于马体内可使之产生||抗毒素||类毒素||减毒活疫苗||丙种球蛋白||死疫苗||A
具有治疗和预防作用的特异物质是||抗毒素||类毒素||减毒活疫苗||丙种球蛋白||死疫苗||A

### 第八章 球菌
下列无芽胞的细菌中，抵抗力最强的细菌是||金黄色葡萄球菌||乙型溶血性链球菌||百日咳杆菌||大肠杆菌||肺炎链球菌||A
能产生SPA的细菌是||类链球菌||乙型溶血性链球菌||肺炎链球菌||金黄色葡萄球菌||表皮葡萄球菌||D
葡萄球菌肠毒素的作用是||直接破坏胃黏膜细胞，导致腹泻、腹痛||直接毒害肠黏膜细胞，导致腹泻、腹痛||直接毒害中枢神经，引起食物中毒||通过刺激呕吐中枢而导致呕吐||直接破坏肠壁血管，导致出血性肠炎||D
能产生脂溶性色素的细菌是||淋病奈瑟菌||乙型溶血性链球菌||铜绿假单胞菌||金黄色葡萄球菌||肺炎链球菌||D
葡萄球菌重要的表面抗原有||M抗原||Vi抗原||SPA||OT抗原||K抗原||C
可与IgGFc段结合的细菌表面物质是||M蛋白||Vi抗原||葡萄球菌A蛋白||炭疽杆菌荚膜多糖抗原||大肠埃希菌K抗原||C
血浆凝固酶可以||促进细菌在体内扩散||由表皮葡萄球菌产生||增强细菌抗吞噬能力||与IgG抗体的Fc段非特异性结合||水解透明质酸||C
下列哪种细菌是医院感染最常见的致病菌||肺炎链球菌||耐甲氧西林金黄色葡萄球菌||乙型溶血性链球菌||腐生葡萄球菌||脑膜炎奈瑟菌||B
金黄色葡萄球菌引起的毒素性疾病不包括||食物中毒||剥脱性皮炎||毒性休克综合征||猩红热||烫伤样皮肤综合征||D
致病性葡萄球菌重要的鉴定依据不包括||金黄色色素||血平板上溶血||凝固酶阳性||耐热核酸酶||发酵葡萄糖||E
化脓性炎症，其脓汁黏稠、病灶局限，这是由于病原菌产生||透明质酸酶||血浆凝固酶||耐热核酸酶||链道酶||链激酶||B
下列细菌中可引起食物中毒的细菌是||金黄色葡萄球菌||链球菌||肺炎链球菌||脑膜炎奈瑟菌||淋病奈瑟菌||A
链球菌分类依据是||能否产生血浆凝固酶||产生色素颜色的不同||鞭毛抗原的不同||在血琼脂培养基中溶血现象的不同||传播途径的不同||D
A群链球菌的主要致病物质不包括||肠毒素||M蛋白||致热外毒素||链激酶||透明质酸酶||A
致病性葡萄球菌的特点是||一般不发酵乳糖||能分解甘露醇||血平皿上形成双溶血环||细菌能产生自溶酶||串珠试验阳性||B
链球菌可导致风湿热、急性肾小球肾炎等超敏反应性疾病，这与其何种致病物质相关||致热外毒素||M蛋白||F蛋白||链道酶||链激酶||B
引发猩红热的病原体是||葡萄球菌||A群链球菌||肺炎链球菌||脑膜炎奈瑟菌||淋球菌||B
活动性风湿患者抗O试验效价超过多少有诊断意义||1:200||1:250||1:300||1:350||1:400||E
测定SLO抗体，可协助下列哪种疾病的诊断||风湿热||肠热症||类风湿关节炎||猩红热||红斑性狼疮||A
A群链球菌在培养早期可形成荚膜，其主要成分为||M蛋白||透明质酸||F蛋白||P蛋白||多糖||B
亚急性细菌性心内膜炎是一种||立克次体引起的感染||衣原体引起的感染||肠道病毒引起的感染||条件致病菌引起的感染||乙型溶血型链球菌引起的感染||D
以下疾病中由甲型溶血性链球菌引起的是||大叶性肺炎||烫伤样皮肤综合征||感染性心内膜炎||化脓性扁桃体炎||流行性脑脊髓膜炎||C
在培养特性上，链球菌与葡萄球菌的不同点是||营养要求高||需氧或兼性厌氧||最适生长温度为37°C||最适pH7.4~7.6||液体培养呈混浊生长，管底有沉淀||A
初次分离培养脑膜炎奈瑟菌需要||含5%的新鲜红血球培养基||5%~10%的CO₂气体||含10%~20%小牛血清的培养基||0.3%琼脂培养基||含0.05%胆盐的培养基||B
引起龋齿最常见的病原菌是||甲型溶血性链球菌||类白喉杆菌||无芽胞厌氧菌||铜绿假单胞菌||白假丝酵母菌||A
以下能够产生自溶酶的细菌是||艰难梭菌||百日咳鲍特菌||变形杆菌||结核分枝杆菌||肺炎链球菌||E
关于肺炎链球菌的叙述正确的是||产生芽胞和自溶酶||菌体呈矛头状，成对排列||革兰染色阴性||有鞭毛而有动力||不形成荚膜也有致病性||B
胆汁溶菌试验常用于鉴别||破伤风梭菌与肉毒梭菌||肺炎链球菌与甲型溶血性链球菌||金黄色葡萄球菌与表皮葡萄球菌||淋病耐瑟菌与脑膜炎耐瑟菌||霍乱弧菌与肠炎沙门菌||B
肺炎链球菌致病主要依赖于||内毒素||外毒素||侵袭性酶||荚膜||M蛋白||D
脑膜炎奈瑟菌的传播方式主要为||粪-口途径||接触传播||呼吸道传播||垂直传播||血液传播||C
脑膜炎奈瑟菌的主要致病物质是||外毒素||LOS||自溶酶||溶血毒素||微荚膜||B
脑膜炎奈瑟菌是||乙脑的病原体||流脑的病原体||SSPE的病原体||结核性脑膜炎的病原体||隐脑的病原体||B
关于脑膜炎奈瑟菌，正确的是||G⁺肾形双球菌||专性需氧，普通培养基中不能生长||对理化因素抵抗力强||可分解甘露醇||标本直接涂片，细菌不可能位于中性粒细胞内||B
在黏膜表面黏附时，可产生分解SIgA蛋白酶的细菌是||葡萄球菌||链球菌||肺炎链球菌||肠球菌||淋病奈瑟菌||E
淋病奈瑟菌可引起||性病淋巴肉芽肿||包涵体结膜炎||新生儿脓漏眼||沙眼||青光眼||C
下列组合，正确的是||脑膜炎奈瑟菌一接触传播||布鲁菌-消化道传播||脑膜炎奈瑟菌一呼吸道传播||伤寒杆菌-呼吸道传播||淋病奈瑟菌一血液传播||C
女孩6岁，发热，体检咽部红肿，有颈强直，腹部有皮疹，有脑膜刺激症状，腰穿有脓性脑脊液，WBC升高，未接种过流脑疫苗。临床诊断为脑膜炎，请问下列哪种细菌可能引起本病||脑膜炎奈瑟菌||结核杆菌||B群链球菌||新型隐球菌||金黄色葡萄球菌||A
患者，20岁男青年，因高热、休克、败血症死亡的患者，尸体解剖心血培养发现有革兰阳性矛头状双球菌生长，肺部有炎症改变，该细菌可能是||溶血性链球菌||脑膜炎奈瑟菌||痢疾杆菌||肺炎链球菌||金黄色葡萄球菌||D
疑似败血症患者血培养，在血平板上长出带溶血环的灰色小菌落，染色镜检为G⁺链球菌，胆汁溶解试验阳性，该细菌可能是||甲型溶血性链球菌||肺炎链球菌||丙型链球菌||乙型溶血性链球菌||肠球菌||B
某医院新生儿病房发生多例剥脱性皮炎患者，为追踪传染源，对从医务人员及病儿分离得到的金黄色葡萄球菌，应进一步做的试验是||血浆凝固酶||耐热核酸酶||溶血性||噬菌体分型||甘露醇发酵||D
患者，男，25岁，扁桃体摘除术后，出现发热，心力衰竭症状。血培养结果在血平板上有草绿色溶血环的小菌落，镜检为革兰阳性链状球菌。诊断为亚急性心内膜炎，该细菌来自何处||皮肤||结肠||鼻咽腔||尿道||眼结膜||C
患者，女，23岁，月经三天突发高热、休克入院。查体腹部无压痛，皮肤未见皮疹和明显感染，阴道有脓性分泌物，培养发现革兰阳性葡萄球状排列球菌，凝固酶阳性，血液、尿液培养阴性，可能是以下哪种感染||急性盆腔炎||急性尿道炎||丹毒||皮肤烫伤综合征||中毒性休克综合征||E
某男，30岁，有不洁性接触史，因近2日尿急、尿频、排尿刺痛而来院就诊。查体尿道有白色脓性分泌物。分泌物涂片染色，镜下见到G⁻成双排列的球菌，试问，该病人感染可能是由下述哪种细菌引起||肺炎链球菌||链球菌||葡萄球菌||脑膜炎奈瑟菌||淋病奈瑟菌||E
